Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Ziro,Ziro,"ZER,Zero,Ziro",27.59497,93.83854,P,PPL,IN,,30,255,,,13893,,1579,Asia/Kolkata,17-12-2016,India
Wardha,Wardha,"Vardha,Vardhá,Vardkha,Varntcha,Wardha,oyaradha,raaradha,vardha,varta,waruda,wo er ta,Βαρντχά,Вардха,وردھا,वर्धा,ওয়ারধা,ৱারধা,વર્ધા,வர்தா,ワルダー,沃尔塔",20.73933,78.59784,P,PPL,IN,,16,504,,,113759,,292,Asia/Kolkata,07-08-2015,India
Vijāpur,Vijapur,"Vijapur,Vijāpur",23.5623,72.74848,P,PPL,IN,,9,471,,,24297,,126,Asia/Kolkata,13-10-2014,India
Vettaikkaranpudur,Vettaikkaranpudur,"Vettagaranpudur,Vettaikkaranpudur,Vettaikkāranpudūr,Vettakkaranpudur,Vettakkāranpudūr",10.56207,76.91305,P,PPL,IN,,25,632,,,18128,,284,Asia/Kolkata,14-10-2014,India
Vadnagar,Vadnagar,Vadnagar,23.78593,72.63893,P,PPL,IN,,9,471,,,24832,,172,Asia/Kolkata,13-10-2014,India
Uniāra,Uniara,"Uniara,Uniyara Khurd,Uniyāra Khurd,Uniāra",26.15336,75.21523,P,PPL,IN,,24,120,,,11441,,352,Asia/Kolkata,03-07-2015,India
Thiruvananthapuram,Thiruvananthapuram,"City of Lord Anantha,TRV,TVM,Thiruvananthapuram,Tiruvananantapuram,Tiruvanantapuram,Tiruvanantapuramas,Tkhiruvanantkhapuram,Trivandrum,te li fan de lang,thyrwfananthabwram,tilubanantapulam,tiru'anantapuram,tirubanantapurama,tiruvanantapuram,tiruvanantapurama,tiruvu~anantapuramu,tribanadrama,tribendrama,trywandrwm,trywwndrwm,Тируванантапурам,Тхіруванантхапурам,טריוונדרום,تریواندروم,تریوینڈرم,تھیروواننتھاپورم,ثيروفانانثابورام,तिरुअनन्तपुरम्,तिरुवनंतपुरम,तिरुवनन्तपुरम,तिरुवनन्तपुरम्,তিরুবনন্তপুরম,ত্রিবানদ্রাম,તિરુવનંતપુરમ્,ତ୍ରିବେନ୍ଦ୍ରମ,திருவனந்தபுரம்,తిరువనంతపురం,ತಿರುವನಂತಪುರಮ್,തിരുവനന്തപുരം,ティルヴァナンタプラム,特里凡得琅,티루바난타푸람",8.4855,76.94924,P,PPLA,IN,,13,601,,,784153,,18,Asia/Kolkata,01-05-2020,India
Tilhar,Tilhar,Tilhar,27.96282,79.73827,P,PPL,IN,,36,152,,,57043,,161,Asia/Kolkata,07-08-2015,India
Tarn Tāran,Tarn Taran,"Tarn Taran,Tarn Tāran",31.45191,74.92777,P,PPL,IN,,23,50,,,58585,,227,Asia/Kolkata,06-09-2015,India
Tanuku,Tanuku,"Tanuku,ta nu ku,tanukku,tanuku,tanuku mandala,tnwkw,تنوکو,तणुकु मण्डल,তানুকু,ତାନୁକୁ,தணுக்கு,తణుకు,塔努库",16.75438,81.68143,P,PPL,IN,,2,546,,,68290,,15,Asia/Kolkata,06-09-2015,India
